title,published,source,summary,link,country
More than 300 residents of Kursk Region killed during Ukrainian incursion — prosecutor,"Tue, 27 May 2025 14:20:57 +0300",TASS,"The Ukrainian army conducts daily strikes, deliberately targeting civilians",https://tass.com/politics/1964115,Russia
Agricultural export dynamics in 2025 slightly lower compared to 2024 — Deputy PM,"Tue, 27 May 2025 14:17:13 +0300",TASS,"Dmitry Patrushev also noted that despite various factors, agricultural production volumes fully meet Russia’s domestic needs",https://tass.com/economy/1964107,Russia
Top Turkish diplomat calls his talks with Russian president significant,"Tue, 27 May 2025 14:16:10 +0300",TASS,Hakan Fidan thanked Russian Foreign Minister Sergey Lavrov for the warm welcome,https://tass.com/world/1964099,Russia
Lavrov favors holding second round of talks with Ukraine in Istanbul again,"Tue, 27 May 2025 14:14:55 +0300",TASS,Russia’s top diplomat said that it was very good in Istanbul,https://tass.com/politics/1964101,Russia
Russia’s grain harvest in 2025 may surpass last year’s yield — Agriculture Minister,"Tue, 27 May 2025 14:11:14 +0300",TASS,"""Despite recurring frosts in April and May, the situation in the fields remains fairly positive,"" Oksana Lut said",https://tass.com/economy/1964091,Russia
"Beijing, Moscow oppose attempts to undermine sovereignty, Chinese official says","Tue, 27 May 2025 14:10:41 +0300",TASS,"Chen Wenqing stressed that Beijing was ready to work together with Moscow to implement high-level agreements, continue deepening cooperation, protect the historic Victory in World War II and fill cooperation between the two countries with fresh momentum",https://tass.com/world/1964095,Russia
Gas not sold to Europe could be redirected for mining in Far East — Russian official,"Tue, 27 May 2025 14:04:43 +0300",TASS,"Minister for the Development of the Russian Far East and Arctic Alexey Chekunkov added that energy should not be taken from the grid from population and business, especially in regions experiencing the shortage of electricity",https://tass.com/economy/1964083,Russia
Success of talks on Ukraine depends eliminating conflict’s root causes — Lavrov,"Tue, 27 May 2025 14:04:38 +0300",TASS,"The foreign minister pointed out that Russia is grateful ""to Turkey for continuing to facilitate talks and the peace settlement as a whole""",https://tass.com/politics/1964087,Russia
High taxes render most measures to support oil production unprofitable — Energy Ministry,"Tue, 27 May 2025 14:00:28 +0300",TASS,"Director of the Oil and Gas Complex Department at the Energy Ministry Anton Rubtsov did not rule out that under such a scenario, a transition to stagnation in oil production is possible",https://tass.com/economy/1964081,Russia
Production of sparkling wines in Russia grew by 7% over first four months of 2025,"Tue, 27 May 2025 13:51:29 +0300",TASS,"The total area of vineyards in Russia amounts to just over 110,000 hectares",https://tass.com/economy/1964063,Russia
Kremlin mum on alleged Trump’s threats to impose new sanctions against Russia,"Tue, 27 May 2025 13:51:24 +0300",TASS,"Earlier, The Wall Street Journal reported, citing sources, that Donald Trump is considering to impose new anti-Russian sanctions this week and plans to withdraw from the negotiation process if he does not see the expected results",https://tass.com/politics/1964065,Russia
Orders from US authorities regarding NATO remain unchanged — military,"Tue, 27 May 2025 13:49:37 +0300",TASS,"Brigadier-general Andrew Saslav noted that the issue of future US engagement in NATO is constantly on his mind, still emphasizing that he has been serving for too long ""to get hyperfocused on political winds and messaging that isn’t orders""",https://tass.com/world/1964055,Russia
Putin confirms Russia’s determination to push forward joint projects with Turkey — Lavrov,"Tue, 27 May 2025 13:46:45 +0300",TASS,"The Russian foreign minister described his talks with his Turkish counterpart as ""useful and fruitful""",https://tass.com/politics/1964053,Russia
Yemeni Houthis claim two missile strikes on Israeli targets,"Tue, 27 May 2025 13:41:11 +0300",TASS,"According to military spokesman Yahya Saria, the Yemeni rebels also carried out a strike on ""an important target"" east of Tel Aviv using a Zulfiqar missile",https://tass.com/world/1964051,Russia
Mechel cuts coal production by 17% in Q1 to 2.13 mln tons,"Tue, 27 May 2025 13:39:36 +0300",TASS,"As Mechel’s CEO Oleg Korzhov noted, the company has optimized its production plans in response to a cooling global demand for coking coal",https://tass.com/economy/1964041,Russia
Russia’s choice of Istanbul for Ukraine talks signals much — top Turkish diplomat,"Tue, 27 May 2025 13:39:02 +0300",TASS,"Hakan Fidan stressed that the long history of relations allowed Russia and Turkey to ""ensure peace, stability and prosperity in the region and the world""",https://tass.com/world/1964043,Russia
Russian security chief lauds Moscow-Beijing ties as main stabilizing factor globally,"Tue, 27 May 2025 13:36:49 +0300",TASS,"Moscow ""considers bilateral cooperation and strategic interaction in the international arena as a basic element of Russian-Chinese partnership,"" Sergey Shoigu noted",https://tass.com/politics/1964039,Russia
Russia expects new Syrian authorities to take decisive steps to fight terrorism — diplomat,"Tue, 27 May 2025 13:33:55 +0300",TASS,"""Syria should not harbor such individuals, who have nothing to do with the Syrian people,"" Maria Zakharova stated",https://tass.com/politics/1964031,Russia
State Duma to review bill on rules for return of foreign brands in June — newspaper,"Tue, 27 May 2025 13:29:14 +0300",TASS,"According to the source, the bill suggests that the return of strategic assets, in sectors affecting the country’s financial stability and defense capacity, will be possible solely as agreed by the Russian president",https://tass.com/economy/1964029,Russia
Kursk Region logs over 550 crimes by Kiev troops since start of special op,"Tue, 27 May 2025 13:24:14 +0300",TASS,"The region’s Prosecutor Alexey Tsukanov added that the Main Military Investigation Department of the Russian Investigative Committee was investigating cases of murder and rape, as well as other crimes committed by Ukrainian service members",https://tass.com/politics/1964023,Russia
Russia values all opportunities provided by Turkey for Russia-Ukraine talks — Lavrov,"Tue, 27 May 2025 13:09:17 +0300",TASS,"According to the foreign minister, the agenda for the talks with the Turkish side is extensive, as it is defined by the agreements and understandings that have been reached during meetings between the two countries' leaders",https://tass.com/politics/1964011,Russia
"Shoigu displays Skat, Kub drones to Chinese official","Tue, 27 May 2025 13:03:42 +0300",TASS,The official also demonstrated combat summer outfit with night vision glasses and portable mine and drone detectors,https://tass.com/politics/1963995,Russia
Press review: France seeks influence in Asia as Kiev warns of prolonged conflict,"Tue, 27 May 2025 13:00:00 +0300",TASS,"Top stories from the Russian press on Tuesday, May 27th",https://tass.com/pressreview/1963797,Russia
Merz seeks to pull Trump into Kiev support by raising long-range arms issue — diplomat,"Tue, 27 May 2025 12:37:45 +0300",TASS,"""Statements, hysteria in the media - all this is a part of an orchestrated campaign, the task of which is to persuade, compel, or tempt Trump to resume supplying Ukraine with military and financial means,"" Rodion Miroshnik stated",https://tass.com/politics/1963965,Russia
"Lavrov notes stable development of trade cooperation between Russia, Turkey","Tue, 27 May 2025 12:31:58 +0300",TASS,"The Russian foreign minister noted that Moscow and Ankara ""have many plans within the bilateral agenda""",https://tass.com/politics/1963957,Russia
Moscow takes Norway's military preparations near borders into account in planning — MFA,"Tue, 27 May 2025 12:25:36 +0300",TASS,Maria Zakharova stressed that such actions could have detrimental effects on Russian-Norwegian relations,https://tass.com/politics/1963949,Russia
"Lavrov, UN relief chief to discuss OCHA’s work in Ukraine on June 2 — diplomat","Tue, 27 May 2025 12:18:24 +0300",TASS,"At the meeting, Sergey Lavrov and Tom Fletcher plan ""to discuss the most acute situations in the zone of humanitarian crises,"" Maria Zakharova said",https://tass.com/politics/1963929,Russia
Russia’s draft memorandum on Ukraine to include potential settlement dates — diplomat,"Tue, 27 May 2025 11:50:35 +0300",TASS,Maria Zakharova stressed that Russian Foreign Minister Sergey Lavrov is daily commenting on the process of its development,https://tass.com/politics/1963901,Russia
Russian diplomat sees Zelensky trying to stifle momentum for peace,"Tue, 27 May 2025 11:49:30 +0300",TASS,Maria Zakharova noted that Zelensky had been begging his patrons to increase assistance to Bankovaya Street,https://tass.com/politics/1963897,Russia
Fact-checking network exposes methods behind recent Romanian presidential election,"Tue, 27 May 2025 11:39:36 +0300",TASS,"Before the vote, there was a visible increase in the number of alarming reports by the Romanian media, with journalists and experts trying to convince the audience that the economic situation in the country would worsen",https://tass.com/society/1963873,Russia
Russian energy ministry expects further growth of global oil demand,"Tue, 27 May 2025 11:29:52 +0300",TASS,"Department head Anton Rubtsov said that ""real potential on growth of reserves, on growth of production is held by friendly countries meaning those coordinating with OPEC+, including Russia""",https://tass.com/economy/1963861,Russia
West pushes Finland towards all-out confrontation with Moscow — Russian diplomat,"Tue, 27 May 2025 11:26:54 +0300",TASS,"Maria Zakharova pointed to a significant surge in military exercises in the West, which indicate NATO’s intention ""to fully explore the territory of its new members, namely Finland""",https://tass.com/politics/1963857,Russia
Rosoboronexport displays new drones at high-level security meeting in Moscow,"Tue, 27 May 2025 11:22:46 +0300",TASS,"The company for the first time displays Supercam X4, Goliath, Karakurt-R and Boomerang quadcopters, as well as high-power fragmentation, incendiary and cumulative warheads which they release",https://tass.com/defense/1963855,Russia
Russia expanding BRICS New Development Bank financing in national currencies,"Tue, 27 May 2025 11:10:27 +0300",TASS,"Deputy Foreign Minister Sergey Ryabkov noted that Russia’s BRICS partners share its concerns over the negative influence of unlawful sanctions not only on the economic situation in separate countries, but also on the global economic system overall",https://tass.com/economy/1963851,Russia
Path to better Russia-US ties difficult but Moscow ready for honest dialogue,"Tue, 27 May 2025 11:06:02 +0300",TASS,Russian Deputy Foreign Minister Sergey Ryabkov stressed that developing dialogue with the US will not be carried out at the expense of Russia's strategic relations with its partners in BRICS and other friendly countries,https://tass.com/politics/1963847,Russia
Russia requests UN Security Council meeting on Ukraine — Russia’s UN envoy,"Tue, 27 May 2025 10:52:13 +0300",TASS,Dmitry Polyansky said that Moscow expects the Greek presidency of the UN Security Council to schedule the meeting for May 30,https://tass.com/politics/1963839,Russia
Decision on Ukraine arms made ‘months ago’ — German chancellor,"Tue, 27 May 2025 10:50:45 +0300",TASS,"As Friedrich Merz said, ""the countries that set range restrictions lifted them quite some time ago""",https://tass.com/world/1963833,Russia
Washington starts grasping Moscow’s stance on Ukraine — Russian diplomat,"Tue, 27 May 2025 10:39:46 +0300",TASS,"Russian Deputy Foreign Minister Sergey Ryabkov stressed that ""there have been some positive changes"" in relations between Moscow and Washington",https://tass.com/politics/1963827,Russia
Russian stocks up as main trading session opens,"Tue, 27 May 2025 10:38:57 +0300",TASS,"The MOEX had narrowed gains to 0.88% as it traded at 2,723.73 points, while the RTS was up by 0.88% at 1,076.83 points",https://tass.com/economy/1963829,Russia
Moody's keeping China’s rating highlights economic stability of country — ministry,"Tue, 27 May 2025 10:17:25 +0300",TASS,"According to the statement, the decision by Moody's agency to keep China’s sovereign credit rating reflects strong prospects of the Chinese economy",https://tass.com/economy/1963811,Russia
IN BRIEF: What we know about last night’s Ukrainian drone attacks on Russian regions,"Tue, 27 May 2025 10:01:24 +0300",TASS,Three buildings at an industrial zone in Murom were damaged,https://tass.com/politics/1963795,Russia
In pursuit of freedom of speech West forgets about respect for feelings — UN official,"Tue, 27 May 2025 09:59:35 +0300",TASS,High Representative of the UN Alliance of Civilizations Miguel Angel Moratinos stressed that it is important to correctly assess the framework of freedom of expression,https://tass.com/world/1963789,Russia
Brazil to participate in SPIEF 2025 — Russian envoy,"Tue, 27 May 2025 09:44:42 +0300",TASS,Members of the delegation have not been named yet,https://tass.com/world/1963787,Russia
Turkey ready to host another round of Ukraine talks — Hurriyet,"Tue, 27 May 2025 08:58:48 +0300",TASS,"Hakan Fidan is currently on a two-day visit in Moscow on the invitation of his Russian counterpart, Sergey Lavrov",https://tass.com/world/1963777,Russia
Demand for matured UN Alliance of Civilizations is on increase — UN official,"Tue, 27 May 2025 08:53:55 +0300",TASS,Miguel Angel Moratinos pointed out that the group has been already fully integrated within the structure of the United Nations,https://tass.com/world/1963775,Russia
Trump considering more sanctions on Russia this week — WSJ,"Tue, 27 May 2025 08:37:31 +0300",TASS,"Potential sanctions likely wouldn’t include new banking sanctions, one of the sources said",https://tass.com/world/1963773,Russia
Russian troops push nearly 800 m into Ukrainian defenses near Petrovskoye in LPR,"Tue, 27 May 2025 08:23:49 +0300",TASS,"In its advance, the Russian army has taken three forest belts, new lines and positions and also destroyed two strongholds of Ukrainian armed formations",https://tass.com/politics/1963771,Russia
Air defenses destroy more than 20 Ukrainian UAVs over Russia’s Voronezh over past night,"Tue, 27 May 2025 08:10:46 +0300",TASS,There were no reported casualties or damage on the ground,https://tass.com/politics/1963767,Russia
13th International Meeting of High Representatives for Security Issues opens in Moscow,"Tue, 27 May 2025 07:06:20 +0300",TASS,"Over 125 delegations from more than 100 countries have confirmed their participation in the meeting of high representatives for security issues, the Russian Security Council’s press office announced to TASS",https://tass.com/defense/1963763,Russia
Over 80 Palestinians killed in Israeli strikes in Gaza Strip over past day — TV,"Tue, 27 May 2025 06:11:26 +0300",TASS,Al Jazeera reported that 53 people of the total number of casualties were killed during the bombardment of the city of Gaza,https://tass.com/world/1963757,Russia
Artificial Intelligence’s development unlikely to turn humans into machines — UN official,"Tue, 27 May 2025 04:42:34 +0300",TASS,"According to Miguel Angel Moratinos, spirituality is more required for people today than ever, because it is a part of human nature",https://tass.com/world/1963753,Russia
Up to 50 injured after car rams into crowd at Liverpool football victory parade — TV,"Tue, 27 May 2025 03:49:00 +0300",TASS,"Sky News reported citing Assistant Chief Constable Jenny Sims as stressing at a news conference as that ""the incident is not being treated as terror-related""",https://tass.com/world/1963751,Russia
UN Alliance of Civilizations maintains good relations with Russia — UN official,"Tue, 27 May 2025 02:09:52 +0300",TASS,"""And we are identifying certain areas where we can work together,"" Miguel Angel Moratinos stated",https://tass.com/world/1963747,Russia
Germany not to announce its plans to supply certain types of weapons to Ukraine,"Mon, 26 May 2025 23:56:47 +0300",TASS,"According to Johann Wadephul, Berlin doesn’t want Moscow to know about its actions geared to provide military aide to Ukraine",https://tass.com/world/1963743,Russia
Former Romanian presidential candidate Georgescu announces retirement from politics,"Mon, 26 May 2025 23:56:18 +0300",TASS,"""Now I am focused on my family,"" Calin Georgescu said",https://tass.com/world/1963741,Russia
"Top Turkish diplomat discussed bilateral ties, settlement in Ukraine with Putin — sources","Mon, 26 May 2025 23:32:07 +0300",TASS,"Fidan is on a working visit to Moscow at the invitation of his Russian counterpart, Sergey Lavrov",https://tass.com/world/1963739,Russia
Court decision to suspend ban on Taliban movement in Russia enters into force,"Mon, 26 May 2025 23:31:22 +0300",TASS,"According to the register, the decision to suspend the ban on the movement's activities took effect on May 20",https://tass.com/politics/1963737,Russia
German vice-chancellor denies Berlin's change of position on providing weapons to Ukraine,"Mon, 26 May 2025 23:26:45 +0300",TASS,"""There is no new agreement that goes beyond what the previous government did,"" Lars Klingbeil said",https://tass.com/world/1963735,Russia
Putin thanks Lukashenko for helping organize prisoner exchange with Ukraine — Kremlin,"Mon, 26 May 2025 23:25:21 +0300",TASS,"The 1,000 for 1,000 prisoner exchange between Russia and Ukraine swap took place in several stages from May 23 to May 25",https://tass.com/politics/1963733,Russia
Man arrested after driving into fans at Liverpool football victory parade — police,"Mon, 26 May 2025 23:17:44 +0300",TASS,The Daily Telegraph reported that 17 people were injured because of the incident,https://tass.com/emergencies/1963731,Russia
Trump signaling intention to disengage from conflict in Ukraine — media,"Mon, 26 May 2025 22:54:01 +0300",TASS,"According to The New York Times, the US President ""signals he is pulling back from a conflict"" echoing Vice President JD Vance’s statement, who said publicly that ""we’re more than open to walking away""",https://tass.com/world/1963721,Russia
"Lukashenko, Putin hold telephone conversation — media","Mon, 26 May 2025 22:51:42 +0300",TASS,The details of the conversation were not given,https://tass.com/world/1963719,Russia
Russian oil export dynamics not to change upon price ceiling adjustment,"Mon, 26 May 2025 22:00:14 +0300",TASS,"Alexander Novak said that Russia always stood against non-market cases related to the adjustment, setting of the ceiling or prohibitions",https://tass.com/economy/1963717,Russia
