title,published,source,summary,link,country
小泉農相 備蓄米の売り渡し“応募殺到で受け付け休止”,"Tue, 27 May 2025 21:55:04 +0900",NHKニュース,小泉農林水産大臣は27日夜、自身のSNSを更新し、随意契約による備蓄米の売り渡しについて「本日の午後から応募が殺到し、令和4年産の全量20万トンに達する模様です。ここからの申し込みは、令和3年産の米になるため、一度受け付けを休止し、3年産米でよいかの意向確認をした上で再開します」と投稿しました。,http://www3.nhk.or.jp/news/html/20250527/k10014817631000.html,Japan
東京 江戸川区 工事現場で爆発 10人けが 約40棟が被害,"Tue, 27 May 2025 20:11:54 +0900",NHKニュース,27日朝、東京・江戸川区の新築マンションの工事現場で爆発が起き、10人が軽いけがをしたほか、爆風によって周辺の40棟近い建物に被害が出ました。捜査関係者によりますと地中に埋められていた可燃性のガスのボンベが工事中に損傷し、漏れ出したガスに引火した可能性があるということで、警視庁が詳しい状況を調べています。,http://www3.nhk.or.jp/news/html/20250527/k10014817621000.html,Japan
“情報漏えいは斎藤知事ら指示の可能性” 兵庫県第三者委員会,"Tue, 27 May 2025 21:08:17 +0900",NHKニュース,兵庫県の斎藤知事の告発文書をめぐる問題で、県の第三者委員会は、文書を作成した元局長の私的な情報を元総務部長が県議会議員に漏えいしたと認定した上で、漏えいが斎藤知事らの指示で行われた可能性が高いとする調査結果を発表しました。県は元総務部長を停職3か月の懲戒処分にしました。一方、斎藤知事は「指示していないという認識に変わりない」と述べ、改めて否定しました。,http://www3.nhk.or.jp/news/html/20250527/k10014817811000.html,Japan
基礎年金底上げ正式合意 自民・公明・立民 党首会談,"Tue, 27 May 2025 18:07:54 +0900",NHKニュース,年金制度改革の関連法案をめぐり石破総理大臣と公明党の斉藤代表、それに立憲民主党の野田代表は党首会談を行い、基礎年金の底上げ措置を盛り込む修正を行うことで正式に合意しました。,http://www3.nhk.or.jp/news/html/20250527/k10014817601000.html,Japan
ドイツ首相 ウクライナへ供与兵器でのロシア長距離攻撃容認へ,"Tue, 27 May 2025 21:25:30 +0900",NHKニュース,ドイツのメルツ首相は、ロシアがウクライナへの攻撃を激化させる中、ウクライナ軍が、ドイツが供与した兵器でロシアに長距離攻撃を行うことを容認する方針を示しました。ドイツは、射程500キロのミサイルを保有していて、ロシアを強くけん制するねらいがあるとみられます。,http://www3.nhk.or.jp/news/html/20250527/k10014818091000.html,Japan
ボクシング 重岡銀次朗が現役引退へ 試合後に緊急の開頭手術,"Tue, 27 May 2025 20:46:06 +0900",NHKニュース,JBC＝日本ボクシングコミッションは、今月24日に行われたプロボクシングの世界タイトルマッチで判定負けした前チャンピオンの重岡銀次朗選手が、試合後開頭手術を受けたと発表しました。重岡選手は、JBCの規定により現役引退となります。,http://www3.nhk.or.jp/news/html/20250527/k10014818241000.html,Japan
【プロ野球結果】日本ハム 伊藤大海が6勝目 巨人は連勝止まる,"Tue, 27 May 2025 22:01:50 +0900",NHKニュース,プロ野球は6試合が行われ、パ・リーグ首位の日本ハムは伊藤大海投手が7回2失点の好投でリーグトップに並ぶ6勝目を挙げて今月好調のソフトバンクに勝ち、敗れた2位・西武とのゲーム差を1.5に広げました。巨人は広島に競り負け、連勝が「5」で止まりました。,http://www3.nhk.or.jp/news/html/20250527/k10014818301000.html,Japan
