title,published,source,summary,link,country
"Aperitivi e vini dealcolati, il trend è mondiale","Tue, 27 May 2025 14:20:29 +0200",Primo piano ANSA - ANSA.it,,https://www.ansa.it/sito/podcast/la_tendenza_della_settimana/2025/05/27/aperitivi-e-vini-dealcolati-il-trend-e-mondiale_ea6d0c15-2604-4e88-8242-de8361ae27d1.html,Italy
"L'udienza dal Papa si prolunga, e il Napoli perde il treno","Tue, 27 May 2025 13:06:56 +0200",Primo piano ANSA - ANSA.it,La squadra sarebbe dovuta partire dal Vaticano alle 12.30. Ai campioni il saluto della cuoca del Pontefice,https://www.ansa.it/sito/notizie/sport/calcio/2025/05/27/ludienza-dal-papa-si-prolunga-e-il-napoli-perde-il-treno_f7731879-6c57-4618-8f98-ed9a786a3e03.html,Italy
"Zaniolo si scusa, ""ho reagito male ma non c'è stata aggressione fisica""","Tue, 27 May 2025 13:27:05 +0200",Primo piano ANSA - ANSA.it,La Procura Figc indaga sui fatti nella semifinale del campionato Primavera Fiorentina-Roma,https://www.ansa.it/sito/notizie/sport/2025/05/27/zaniolo-si-scusa-ho-reagito-male-ma-non-ce-stata-aggressione-fisica_0a1ce153-8938-40bc-ae42-4a0274508106.html,Italy
"Dia: vigileremo sul Ponte, cresce l'interesse della 'ndrangheta per le grandi opere","Tue, 27 May 2025 12:00:31 +0200",Primo piano ANSA - ANSA.it,"Relazione, anche sulla gestione delle risorse degli enti locali",https://www.ansa.it/sito/notizie/cronaca/2025/05/27/dia-cresce-interesse-ndrangheta-per-controllo-grandi-opere_7d2ea259-9c2f-4f89-962a-8ea8320c27d7.html,Italy
"Mamme Arcobaleno, il Viminale resiste in appello sulle 'cancellazioni'","Tue, 27 May 2025 11:43:33 +0200",Primo piano ANSA - ANSA.it,L'Avvocatura dello Stato non ha ritirato i ricorsi dopo la sentenza della Consulta,https://www.ansa.it/sito/notizie/cronaca/2025/05/27/mamme-arcobaleno-il-viminale-resiste-in-appello-sulle-cancellazioni_49ced992-2fc2-4fd0-98b4-1a8769ebf10d.html,Italy
"Il suicidio era un femminicidio, condannato a 22 anni e 6 mesi","Tue, 27 May 2025 14:37:45 +0200",Primo piano ANSA - ANSA.it,Operaio del Bangladesh aveva cambiato versione più volte,https://www.ansa.it/liguria/notizie/2025/05/27/suicidio-era-femminicidio-condannato-a-22-anni-e-6-mesi_751f28f9-4cb5-4ee7-9b6c-1dec7bec79fb.html,Italy
Meloni: 'Al via il bando per le case popolari a Caivano',"Tue, 27 May 2025 12:15:35 +0200",Primo piano ANSA - ANSA.it,Obiettivo è riqualificare gli immobili comunali del Parco Verde. 130 milioni dai privati per 750 alloggi,https://www.ansa.it/sito/notizie/politica/2025/05/27/meloni-al-via-il-bando-per-le-case-popolari-a-caivano_46276121-702c-401a-b38e-536699b2a5e8.html,Italy
Ue indaga su Pornhub e altri tre siti hard: 'Proteggiamo i minori',"Tue, 27 May 2025 12:13:39 +0200",Primo piano ANSA - ANSA.it,Sospette violazioni del regolamento sui servizi digitali (Dsa). Gli Stati membri verificano altre piattaforme più piccole,https://www.ansa.it/sito/notizie/mondo/europa/2025/05/27/indagini-ue-su-pornhub-e-altri-tre-siti-hard-proteggiamo-i-minori_8abcbc84-d8c3-48d1-a744-a5981f5f1e09.html,Italy
"Mercato auto Europa stabile ad aprile, ibride le preferite","Tue, 27 May 2025 10:44:15 +0200",Primo piano ANSA - ANSA.it,"Dati Acea, nei primi 4 mesi calo dello 0,4%",https://www.ansa.it/canale_motori/notizie/industria_analisi/2025/05/27/mercato-auto-europa-stabile-ad-aprile-ibride-le-preferite_4ef40b9d-24f5-4947-908f-a9f3de7e0403.html,Italy
"Etica e rispetto nello sport, torna il Premio Fair Play Menarini","Mon, 26 May 2025 16:18:10 +0200",Primo piano ANSA - ANSA.it,"Al via il 2 luglio, i protagonisti sono fuoriclasse mondiale",https://www.ansa.it/responsabilmente/notizie/oltre_il_traguardo/2025/05/26/etica-e-rispetto-nello-sport-torna-il-premio-fair-play-menarini_715f225c-9e22-49d2-b159-7dedc84116bc.html,Italy
"Auto sui pedoni alla parata del Liverpool, terrore in Gran Bretagna","Tue, 27 May 2025 12:10:36 +0200",Primo piano ANSA - ANSA.it,"Il bilancio è di 27 feriti, due sono gravi. Arrestato il guidatore. Starmer, 'è spaventoso'",https://www.ansa.it/sito/notizie/mondo/2025/05/27/auto-sui-pedoni-alla-parata-del-liverpool-terrore-in-gran-bretagna_d0ece3cb-8137-4b27-9ae7-5557dd177ecb.html,Italy
Ipotesi scalata di Unicredit su Generali da escludere,"Tue, 27 May 2025 12:34:57 +0200",Primo piano ANSA - ANSA.it,Il ceo  Andrea Orcel: 'Il percorso Tar-Consiglio di Stato non arriverà in tempo per darci certezza della chiusura dell'operazione su Banco Bpm',https://www.ansa.it/sito/notizie/economia/2025/05/27/ipotesi-scalata-di-unicredit-su-generali-da-escludere-_9a42ea10-92e7-4121-9b14-bf5e343b033d.html,Italy
Brigitte schiaffeggia Macron? 'Stavamo solo scherzando',"Tue, 27 May 2025 10:01:40 +0200",Primo piano ANSA - ANSA.it,Video virale allo scalo di Hanoi. Il presidente: 'Nessuna lite',https://www.ansa.it/sito/notizie/mondo/2025/05/26/brigitte-schiaffeggia-macron-stavamo-solo-scherzando-_70940b40-02f8-43c2-bb78-3a94c15901a0.html,Italy
